lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
5,3,DNF,[71, 71],4,5,0.552834,0.937500
5,3,DNF,[71, 72],4,6,0.403352,0.903226
5,3,DNF,[71, 72],4,7,1.706338,0.935484
5,3,DNF,[71, 72],4,8,1.417505,0.870968
5,3,DNF,[71, 72],4,9,0.790680,0.838710
---> Chosen: (5, 3, 'DNF', [71, 71], 4, 0), (mean val acc cv) 0.895464, (test acc holdout) 0.857143, (mean training time) 1.002415
5,3,DNF,[142, 142],2,0,5.467052,0.906250
5,3,DNF,[142, 142],2,1,17.787021,0.906250
5,3,DNF,[142, 142],2,2,8.780115,0.937500
5,3,DNF,[142, 142],2,3,6.390417,0.843750
5,3,DNF,[142, 142],2,4,6.331886,0.875000
5,3,DNF,[142, 142],2,5,3.233734,0.906250
5,3,DNF,[142, 143],2,6,6.126100,0.870968
5,3,DNF,[142, 143],2,7,3.324001,0.967742
5,3,DNF,[142, 143],2,8,1.493936,0.903226
5,3,DNF,[142, 143],2,9,2.807474,0.838710
---> Chosen: (5, 3, 'DNF', [142, 143], 2, 7), (mean val acc cv) 0.895565, (test acc holdout) 0.828571, (mean training time) 6.174174
10,1,CNF,[8, 9],35,0,0.906616,0.687500
10,1,CNF,[8, 9],35,1,0.859207,0.812500
10,1,CNF,[8, 9],35,2,0.881441,0.656250
10,1,CNF,[8, 9],35,3,0.893413,0.656250
10,1,CNF,[8, 9],35,4,0.936313,0.687500
10,1,CNF,[8, 9],35,5,0.913646,0.906250
10,1,CNF,[8, 9],35,6,0.914006,0.806452
10,1,CNF,[8, 9],35,7,0.947795,0.741935
10,1,CNF,[8, 9],35,8,0.939014,0.741935
10,1,CNF,[8, 9],35,9,0.962685,0.774194
---> Chosen: (10, 1, 'CNF', [8, 9], 35, 5), (mean val acc cv) 0.747077, (test acc holdout) 0.885714, (mean training time) 0.915413
10,1,CNF,[16, 17],17,0,0.544616,0.781250
10,1,CNF,[16, 17],17,1,0.513045,0.718750
10,1,CNF,[16, 17],17,2,0.498957,0.531250
10,1,CNF,[16, 17],17,3,0.491921,0.812500
10,1,CNF,[16, 17],17,4,0.493636,0.718750
10,1,CNF,[16, 17],17,5,0.500138,0.687500
10,1,CNF,[16, 17],17,6,0.507519,0.774194
10,1,CNF,[16, 17],17,7,0.555444,0.774194
10,1,CNF,[16, 17],17,8,0.536228,0.677419
10,1,CNF,[16, 17],17,9,0.514395,0.645161
---> Chosen: (10, 1, 'CNF', [16, 17], 17, 3), (mean val acc cv) 0.712097, (test acc holdout) 0.742857, (mean training time) 0.515590
10,1,CNF,[35, 36],8,0,0.311695,0.812500
10,1,CNF,[35, 36],8,1,0.306765,0.843750
10,1,CNF,[35, 36],8,2,0.298116,0.718750
10,1,CNF,[35, 36],8,3,0.305919,0.687500
10,1,CNF,[35, 36],8,4,0.306602,0.687500
10,1,CNF,[35, 36],8,5,0.298164,0.906250
10,1,CNF,[35, 36],8,6,0.301915,0.806452
10,1,CNF,[35, 36],8,7,0.316607,0.709677
10,1,CNF,[35, 36],8,8,0.329877,0.741935
10,1,CNF,[35, 36],8,9,0.309286,0.741935
---> Chosen: (10, 1, 'CNF', [35, 36], 8, 5), (mean val acc cv) 0.765625, (test acc holdout) 0.885714, (mean training time) 0.308495
10,1,CNF,[71, 71],4,0,0.247333,0.781250
10,1,CNF,[71, 71],4,1,0.261916,0.781250
10,1,CNF,[71, 71],4,2,0.219877,0.843750
10,1,CNF,[71, 71],4,3,0.240809,0.812500
10,1,CNF,[71, 71],4,4,0.238219,0.750000
10,1,CNF,[71, 71],4,5,0.298964,0.812500
10,1,CNF,[71, 72],4,6,0.235848,0.838710
10,1,CNF,[71, 72],4,7,0.281727,0.806452
10,1,CNF,[71, 72],4,8,0.243543,0.709677
10,1,CNF,[71, 72],4,9,0.296041,0.774194
---> Chosen: (10, 1, 'CNF', [71, 71], 4, 2), (mean val acc cv) 0.791028, (test acc holdout) 0.885714, (mean training time) 0.256428
10,1,CNF,[142, 142],2,0,0.524782,0.843750
10,1,CNF,[142, 142],2,1,0.450595,0.812500
10,1,CNF,[142, 142],2,2,0.185768,0.750000
10,1,CNF,[142, 142],2,3,0.255671,0.812500
10,1,CNF,[142, 142],2,4,0.354625,0.718750
10,1,CNF,[142, 142],2,5,0.398186,0.906250
10,1,CNF,[142, 143],2,6,0.336061,0.806452
10,1,CNF,[142, 143],2,7,0.686355,0.741935
10,1,CNF,[142, 143],2,8,0.530889,0.774194
10,1,CNF,[142, 143],2,9,0.468949,0.774194
---> Chosen: (10, 1, 'CNF', [142, 142], 2, 5), (mean val acc cv) 0.794052, (test acc holdout) 0.885714, (mean training time) 0.419188
10,1,DNF,[8, 9],35,0,0.903183,0.875000
10,1,DNF,[8, 9],35,1,0.946388,0.875000
10,1,DNF,[8, 9],35,2,0.907168,0.937500
10,1,DNF,[8, 9],35,3,0.910481,0.906250
10,1,DNF,[8, 9],35,4,0.919086,0.906250
10,1,DNF,[8, 9],35,5,0.911649,1.000000
10,1,DNF,[8, 9],35,6,0.900196,0.935484
10,1,DNF,[8, 9],35,7,0.938970,0.935484
10,1,DNF,[8, 9],35,8,0.891385,0.935484
10,1,DNF,[8, 9],35,9,0.898987,0.935484
---> Chosen: (10, 1, 'DNF', [8, 9], 35, 5), (mean val acc cv) 0.924194, (test acc holdout) 0.885714, (mean training time) 0.912749
10,1,DNF,[16, 17],17,0,0.536829,0.906250
10,1,DNF,[16, 17],17,1,0.526949,0.937500
10,1,DNF,[16, 17],17,2,0.542734,0.937500
10,1,DNF,[16, 17],17,3,0.491603,0.906250
10,1,DNF,[16, 17],17,4,0.505932,0.968750
10,1,DNF,[16, 17],17,5,0.513741,0.937500
10,1,DNF,[16, 17],17,6,0.506280,0.967742
10,1,DNF,[16, 17],17,7,0.523382,0.870968
10,1,DNF,[16, 17],17,8,0.513058,0.870968
10,1,DNF,[16, 17],17,9,0.517724,0.838710
---> Chosen: (10, 1, 'DNF', [16, 17], 17, 4), (mean val acc cv) 0.914214, (test acc holdout) 0.885714, (mean training time) 0.517823
10,1,DNF,[35, 36],8,0,0.370636,0.906250
10,1,DNF,[35, 36],8,1,0.339964,0.937500
10,1,DNF,[35, 36],8,2,0.306402,0.937500
10,1,DNF,[35, 36],8,3,0.323562,0.875000
10,1,DNF,[35, 36],8,4,0.310951,0.937500
10,1,DNF,[35, 36],8,5,0.302996,0.968750
10,1,DNF,[35, 36],8,6,0.308817,0.967742
10,1,DNF,[35, 36],8,7,0.321879,0.935484
10,1,DNF,[35, 36],8,8,0.306941,0.870968
10,1,DNF,[35, 36],8,9,0.321300,0.838710
---> Chosen: (10, 1, 'DNF', [35, 36], 8, 5), (mean val acc cv) 0.917540, (test acc holdout) 0.828571, (mean training time) 0.321345
10,1,DNF,[71, 71],4,0,0.228034,0.906250
10,1,DNF,[71, 71],4,1,0.229190,0.906250
10,1,DNF,[71, 71],4,2,0.210934,0.937500
10,1,DNF,[71, 71],4,3,0.268784,0.906250
10,1,DNF,[71, 71],4,4,0.221878,0.906250
10,1,DNF,[71, 71],4,5,0.211820,1.000000
10,1,DNF,[71, 72],4,6,0.220222,0.935484
10,1,DNF,[71, 72],4,7,0.229493,0.935484
10,1,DNF,[71, 72],4,8,0.227388,0.838710
10,1,DNF,[71, 72],4,9,0.228263,0.838710
---> Chosen: (10, 1, 'DNF', [71, 71], 4, 5), (mean val acc cv) 0.911089, (test acc holdout) 0.885714, (mean training time) 0.227601
10,1,DNF,[142, 142],2,0,0.182166,0.875000
10,1,DNF,[142, 142],2,1,0.181022,0.937500
10,1,DNF,[142, 142],2,2,0.164815,0.937500
10,1,DNF,[142, 142],2,3,0.166079,0.906250
